Date,Name,City,Address,Nights,Lat,Lon
2025-12-12,The Westin Austin Downtown,Austin,"The Westin Austin Downtown, 310, East 5th Street, Downtown, Austin, Travis County, Texas, 78701, United States",2,30.2666388,-97.7403299
2025-10-13,Le Méridien St. Louis Clayton,Clayton,"Le Meridien St. Louis Clayton, 7730, Bonhomme Avenue, Clayton, Saint Louis County, Missouri, 63105, United States",3,38.6470649,-90.336443
2025-09-09,AC Hotel St. Louis Central West End,Saint Louis,"AC Hotel St. Louis Central West End, 215, York Avenue, Central West End, Saint Louis, Missouri, 63108, United States",2,38.6442871,-90.2626684
2025-08-12,"Hotel St. George, Helsinki, a Member of Design Hotels™",Unknown,"Hotel St. George, Helsinki, a Member of Design Hotels™",2,0.0,0.0
2025-08-01,"Kruisherenhotel Maastricht, a Member of Design Hotels™",Unknown,"Kruisherenhotel Maastricht, a Member of Design Hotels™",1,0.0,0.0
2025-08-01,"Kruisherenhotel Maastricht, a Member of Design Hotels™",Unknown,"Kruisherenhotel Maastricht, a Member of Design Hotels™",1,0.0,0.0
2025-07-02,"The Ritz-Carlton, St. Louis",Unknown,"The Ritz-Carlton, St. Louis",7,0.0,0.0
2025-06-21,Residence Inn by Marriott Mt. Olive at International Trade Center,Unknown,Residence Inn by Marriott Mt. Olive at International Trade Center,2,0.0,0.0
2025-06-13,"Hotel Drover, Autograph Collection",Unknown,"Hotel Drover, Autograph Collection",2,0.0,0.0
2025-06-09,Sheraton Grand Seattle,Unknown,Sheraton Grand Seattle,2,0.0,0.0
2025-05-27,"The Ritz-Carlton, St. Louis",Unknown,"The Ritz-Carlton, St. Louis",9,0.0,0.0
2025-05-19,"The Ritz-Carlton, St. Louis",Unknown,"The Ritz-Carlton, St. Louis",2,0.0,0.0
2025-05-05,Le Méridien St. Louis Clayton,Clayton,"Le Meridien St. Louis Clayton, 7730, Bonhomme Avenue, Clayton, Saint Louis County, Missouri, 63105, United States",3,38.6470649,-90.336443
2025-04-24,Le Méridien St. Louis Clayton,Clayton,"Le Meridien St. Louis Clayton, 7730, Bonhomme Avenue, Clayton, Saint Louis County, Missouri, 63105, United States",1,38.6470649,-90.336443
2025-04-21,"The Ritz-Carlton, St. Louis",Unknown,"The Ritz-Carlton, St. Louis",3,0.0,0.0
2025-04-03,Le Méridien St. Louis Clayton,Clayton,"Le Meridien St. Louis Clayton, 7730, Bonhomme Avenue, Clayton, Saint Louis County, Missouri, 63105, United States",1,38.6470649,-90.336443
2025-03-29,"The Ritz-Carlton, St. Louis",Unknown,"The Ritz-Carlton, St. Louis",5,0.0,0.0
2025-03-27,"The Ritz-Carlton, St. Louis",Unknown,"The Ritz-Carlton, St. Louis",2,0.0,0.0
2025-03-26,AC Hotel St. Louis Clayton,Clayton,"AC Hotel St. Louis Clayton, 227, South Central Avenue, Clayton, Saint Louis County, Missouri, 63105, United States",1,38.6466028,-90.3390592
2025-03-25,"The Ritz-Carlton, St. Louis",Unknown,"The Ritz-Carlton, St. Louis",1,0.0,0.0
2025-03-10,"The Ritz-Carlton, St. Louis",Unknown,"The Ritz-Carlton, St. Louis",3,0.0,0.0
2025-02-24,"The Ritz-Carlton, St. Louis",Unknown,"The Ritz-Carlton, St. Louis",2,0.0,0.0
2025-02-10,"The Ritz-Carlton, St. Louis",Unknown,"The Ritz-Carlton, St. Louis",3,0.0,0.0
2025-01-20,"The Ritz-Carlton, St. Louis",Unknown,"The Ritz-Carlton, St. Louis",3,0.0,0.0
2025-01-13,Le Méridien St. Louis Clayton,Clayton,"Le Meridien St. Louis Clayton, 7730, Bonhomme Avenue, Clayton, Saint Louis County, Missouri, 63105, United States",3,38.6470649,-90.336443
2024-12-09,"The Ritz-Carlton, St. Louis",Unknown,"The Ritz-Carlton, St. Louis",3,0.0,0.0
2024-12-08,Aloft Richardson,Richardson,"Aloft Richardson, 1160, State Street, Richardson, Collin County, Texas, 75082, United States",1,33.0009491,-96.701478
2024-12-02,"The Ritz-Carlton, St. Louis",Unknown,"The Ritz-Carlton, St. Louis",3,0.0,0.0
2024-11-18,AC Hotel St. Louis Clayton,Clayton,"AC Hotel St. Louis Clayton, 227, South Central Avenue, Clayton, Saint Louis County, Missouri, 63105, United States",3,38.6466028,-90.3390592
2024-11-05,"The Ritz-Carlton, St. Louis",Unknown,"The Ritz-Carlton, St. Louis",2,0.0,0.0
2024-10-14,"The Ritz-Carlton, St. Louis",Unknown,"The Ritz-Carlton, St. Louis",3,0.0,0.0
2024-09-30,"The Ritz-Carlton, St. Louis",Unknown,"The Ritz-Carlton, St. Louis",3,0.0,0.0
2024-09-16,Sheraton Westport Plaza Hotel St. Louis,Saint Louis,"Sheraton Westport Plaza Hotel St. Louis, 900, West Port Plaza Drive, Saint Louis, Saint Louis County, Missouri, 63146, United States",3,38.7002082,-90.4463931
2024-09-02,"The Ritz-Carlton, St. Louis",Unknown,"The Ritz-Carlton, St. Louis",3,0.0,0.0
2024-08-19,"The Ritz-Carlton, St. Louis",Unknown,"The Ritz-Carlton, St. Louis",3,0.0,0.0
2024-08-05,"The Ritz-Carlton, St. Louis",Unknown,"The Ritz-Carlton, St. Louis",3,0.0,0.0
2024-07-29,Le Méridien St. Louis Clayton,Clayton,"Le Meridien St. Louis Clayton, 7730, Bonhomme Avenue, Clayton, Saint Louis County, Missouri, 63105, United States",3,38.6470649,-90.336443
2024-07-08,"The Ritz-Carlton, St. Louis",Unknown,"The Ritz-Carlton, St. Louis",3,0.0,0.0
2024-06-03,Le Méridien St. Louis Clayton,Clayton,"Le Meridien St. Louis Clayton, 7730, Bonhomme Avenue, Clayton, Saint Louis County, Missouri, 63105, United States",3,38.6470649,-90.336443
2024-05-20,Le Méridien St. Louis Clayton,Clayton,"Le Meridien St. Louis Clayton, 7730, Bonhomme Avenue, Clayton, Saint Louis County, Missouri, 63105, United States",3,38.6470649,-90.336443
2024-05-06,Le Méridien St. Louis Clayton,Clayton,"Le Meridien St. Louis Clayton, 7730, Bonhomme Avenue, Clayton, Saint Louis County, Missouri, 63105, United States",3,38.6470649,-90.336443
2024-04-22,AC Hotel St. Louis Central West End,Saint Louis,"AC Hotel St. Louis Central West End, 215, York Avenue, Central West End, Saint Louis, Missouri, 63108, United States",3,38.6442871,-90.2626684
2024-03-25,Le Méridien St. Louis Clayton,Clayton,"Le Meridien St. Louis Clayton, 7730, Bonhomme Avenue, Clayton, Saint Louis County, Missouri, 63105, United States",3,38.6470649,-90.336443
